id,state_or_ut,scope,scheme_name,tag,ministry,benefit,annual,application_url,application_type,relevance_tier,source_file
an_pmmsy_fishermen,Andaman & Nicobar,state,PM Matsya Sampada Yojana — PMMSY (Andaman & Nicobar),fishermen; boat; equipment,"A&N Fisheries Dept. / Ministry of Fisheries, Animal Husbandry & Dairying (GoI)","Subsidy of 60% (SC/ST/Women) or 40% (General) on purchase of fishing boats, engines, and gear; up to ₹3 lakh subsidy for new fibreglass boat + engine; ₹50,000–₹1 lakh for deep-sea fishing equipment; cage aquaculture and seaweed cultivation assistance for island fishers; free Fish Farmer Producer Organisation (FFPO) membership; ₹5 lakh accident insurance for active fishermen at sea; ice plant and cold storage infrastructure support; training in modern deep-sea fishing techniques",300000,"fisheries.and.nic.in / District Fisheries Office, Port Blair",District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/andaman_nicobar.js
an_women_shg_nrlm,Andaman & Nicobar,state,DAY-NRLM Women SHG & Livelihood Scheme (A&N UT),women; shg; island livelihood,A&N Rural Development Dept. / NRLM — DAY-NRLM Mission,"Revolving fund of ₹15,000 per SHG; Community Investment Fund (CIF) of ₹50,000–₹1.5 lakh per group for income-generating activities; bank linkage loans at 7% interest (3% interest subvention); skill training in island-specific livelihoods — shell jewellery making, spice processing, Nicobarese crafts, bakery, tailoring, eco-tourism services; ₹500/month stipend during skill training; marketing linkage with national e-commerce platforms; special Nicobar Island Women Cluster programme",150000,"Block Development Office (BDO), Port Blair / Rangat / Car Nicobar / nearest Panchayat",District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andaman_nicobar.js
an_fishermen_accident_insurance,Andaman & Nicobar,state,Fishermen Welfare Fund & Accident Insurance (A&N UT),fishermen; insurance; safety,A&N Fisheries Dept. / National Fisheries Development Board,"₹5 lakh accident-cum-life insurance for registered fishermen going to sea; ₹2 lakh for partial disability; ₹50,000 for hospitalisation due to sea accident; ₹10,000 annual saving-cum-relief benefit from Fishermen Welfare Fund; free life jacket and safety equipment for registered active fishermen; subsidy on diesel/petrol for fishing boats of up to ₹10,000 per year; compensation of ₹1,500/week during ban period (fishing ban season)",60000,"District Fisheries Office, Port Blair / Mayabunder / Car Nicobar (offline registration)",District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andaman_nicobar.js
an_pvtg_tribal_welfare,Andaman & Nicobar,state,PVTG Welfare & Protection Scheme — AAJVS (A&N UT),tribal; pvtg; island indigenous,A&N Tribal Welfare Dept. / Ministry of Tribal Affairs (GoI) — Andaman Adim Janjati Vikas Samiti (AAJVS),"Comprehensive welfare for Particularly Vulnerable Tribal Groups (Great Andamanese, Onge, Nicobarese, Shompen) — free housing with modern amenities in tribal reserves; free rations (rice, pulses, edible oil, sugar) provided monthly by AAJVS; free healthcare at dedicated AAJVS health units with resident doctors; free education including residential schools (ashram schools) in tribal areas; ₹500/month cash allowance per adult tribal member; traditional livelihood support (hunting, fishing, gathering tools); no forced displacement or tourism encroachment protections",6000,"AAJVS Headquarters, Port Blair — administered automatically; tribal members need not apply individually",District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andaman_nicobar.js
ap_sc_st_corporation,Andhra Pradesh,state,AP SC/ST Corporation — Welfare & Livelihood Schemes (Andhra Pradesh),sc; st; scholarship; livelihood,AP SC Corporation (APSCFC) & ST Corporation (TRICOR) / Welfare Dept.,"Cluster of targeted welfare schemes administered through APSCFC (for SC) and TRICOR (for ST) covering multiple needs — key benefits: (1) Unit Assistance: ₹1 lakh–₹5 lakh loan at 4% interest for SC/ST entrepreneurs to start micro-enterprises (with 30–50% subsidy component); (2) Education: pre-matric and post-matric scholarships at ₹550–₹1,200 per month for SC/ST students in government and aided institutions; free residential school hostel seats in Gurukul schools across AP; (3) Land Distribution: allotment of ceiling surplus / government land to landless SC/ST agricultural labourers; (4) Scheduled Areas: special ITDA (Integrated Tribal Development Agency) programmes for ST in scheduled areas covering free seeds, tools, health camps, and PESA-based governance support; (5) AMBEDKAR OVERSEAS: scholarship for SC/ST students for higher education abroad",14400,apscorporation.ap.gov.in / tricor.ap.gov.in / District Welfare Officer (offline),District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/andhra_pradesh.js
ap_jagananna_thodu,Andhra Pradesh,state,Jagananna Thodu — Working Capital Loan for Petty Traders (Andhra Pradesh),business; petty trade; interest-free loan,AP BC Welfare Dept. / Jagananna Thodu — Working Capital Support,"Interest-free working capital loan of ₹10,000 per year for small street vendors, petty traders, and self-employed individuals from BC, SC, ST, minority, and Kapu communities — loan disbursed directly to beneficiary's bank account; repayment at zero interest; next year's loan disbursed after repayment of current year; covers shopkeepers, vegetable vendors, auto drivers, cobblers, tailors, barbers, flower sellers, small kiosk owners, and other self-employed informal sector workers; registration through Ward/Village Secretariat system; linked to APSSDC skill upgradation programmes; approximately 25 lakh beneficiaries annually; no collateral required",2500000,jaganannathodu.ap.gov.in / Ward/Village Secretariat (offline),District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/andhra_pradesh.js
ap_ysr_aasara,Andhra Pradesh,state,YSR Aasara — Women SHG Loan Waiver & Support (Andhra Pradesh),women; shg; loan waiver,AP Rural Development Dept. / SERP (Society for Elimination of Rural Poverty),"Two-pronged support for women Self-Help Group (SHG) members in Andhra Pradesh — (1) Loan Waiver Component: one-time waiver of SHG loans up to ₹1 lakh per SHG member from micro-finance institutions (MFIs) and commercial banks for women from BPL/poor households who are unable to repay; (2) Fresh Credit Support: interest-free or subsidised loans up to ₹1 lakh per SHG member for income-generating activities through APCNF/SERP network; skill development training linked to ZBF (Zero Budget Farming), organic agriculture, animal husbandry, and micro-enterprise; market linkage through 'Apni Mandi' and state-level fairs; covers rural women SHG members across all 26 districts; priority to Dalit and tribal women-led SHGs",100000,serp.ap.gov.in / Village Organisation (VO) / Mandal Samakhya (offline),District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/andhra_pradesh.js
ap_jagananna_colony,Andhra Pradesh,state,Jagananna Colony — Housing Scheme for Poor (Andhra Pradesh),housing; free site; bpl-ews,AP Housing Corporation / Jagananna Colonies (PMAY State Top-Up),"One of the largest housing schemes in India — provides free house site (3 cents of land) plus financial assistance for construction to BPL/EWS households across AP — key benefits: ₹1.80 lakh total construction assistance per household (Central PMAY-G ₹1.2 lakh + AP state top-up ₹60,000); released in 4 installments tied to construction milestones; free house site (patta/land title deed) in Jagananna Colonies — government-developed township layouts with basic amenities (internal roads, drainage, electricity, water); house design is 323 sq ft (2 BHK standard plan) with earthquake and cyclone-resistant construction; mandatory functional toilet and drinking water tap; priority to SC/ST, fisherfolk, weaver households, and families displaced by natural disasters; covers all 13 original districts (now 26 districts post reorganisation); additional ₹10,000 incentive for timely completion",180000,jaganannaaasara.ap.gov.in / Ward/Village Secretariat (offline),District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andhra_pradesh.js
ap_ysr_cheyutha,Andhra Pradesh,state,YSR Cheyutha — Women's Economic Empowerment Scheme (Andhra Pradesh),women; direct benefit; bc-sc-st,AP Women Development & Child Welfare Dept. / YSR Cheyutha,"Direct financial assistance of ₹18,750 per year to women aged 45–60 years from BC (Backward Class), SC, ST, and minority communities to support self-employment and livelihoods — paid in 4 quarterly installments of ₹4,687 directly to the beneficiary's bank account; no conditionality on how the money is spent — designed to provide economic autonomy to women in the vulnerable 45–60 age group who are often excluded from other schemes; covers approximately 23 lakh women across AP; combined with convergence benefits including free health check-ups under Aarogyasri, enrollment in SHG groups under APCNF, and skill training opportunities",18750,navasakam.ap.gov.in / Ward/Village Secretariat (offline),District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andhra_pradesh.js
ap_ysr_pension_kanuka,Andhra Pradesh,state,YSR Pension Kanuka — Social Security Pension (Andhra Pradesh),senior; pension; disability; widow,AP Social Welfare Dept. / YSR Pension Kanuka,"Monthly social security pension for vulnerable groups in Andhra Pradesh delivered door-to-door by volunteers on the 1st of every month — pension amounts: ₹2,750/month for old-age pensioners (60+ years, BPL), widows, and deserted women; ₹3,000/month for persons with disability (40%+ disability); ₹3,000/month for weavers, toddy tappers, fishermen, and single women (dhobi, barber community); ₹3,500/month for persons with 100% disability; ₹10,000/month for HIV-positive persons; home delivery of pension cash by Village/Ward Volunteer directly at doorstep — no need to visit a bank or government office; covers approximately 65 lakh pensioners across AP; no family income ceiling for disability pensioners; all pensioners also entitled to free Aarogyasri health insurance",33000,navasakam.ap.gov.in / Ward/Village Secretariat or Village Volunteer (offline),District Industry Center (DIC),B — livelihood/agri/capability,Yojana-Sahay-main/src/states/andhra_pradesh.js
arunachal_apslrm_shg,Arunachal Pradesh,state,Arunachal Pradesh State Livelihoods Mission — Women SHG Support,women; shg; livelihood; tribal craft,Arunachal Pradesh State Livelihoods & Rural Management Society (APSLRMS) / Rural Development Dept.,"Comprehensive livelihood support for rural women through Self-Help Groups (SHGs) across Arunachal Pradesh — key benefits: ₹15,000 interest-free revolving fund for newly formed SHGs; community investment fund (CIF) loans up to ₹3 lakh per SHG at subsidised rates for income-generating activities; skill development training in Arunachal's traditional crafts — cane and bamboo weaving, Adi, Nyishi, Monpa, and Apatani handloom textiles, food processing (bamboo shoot, pickles, wild honey), and eco-tourism homestay management; market linkage through state-level fairs and 'Arunachal Handloom & Handicraft' brand; group insurance coverage under PM Jeevan Jyoti and Suraksha Bima; connects to MUDRA pipeline for individual business loans; covers all 26 districts with priority to remote frontier districts and women from ILP-zone villages; special focus on tribal women artisans preserving indigenous craft traditions",300000,arunachalpradesh.gov.in/rural / Block Development Officer (offline),District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/arunachal_pradesh.js
arunachal_cmses,Arunachal Pradesh,state,Chief Minister's Self Employment Scheme (CMSES) — Arunachal Pradesh,youth; self-employment; entrepreneur,Arunachal Pradesh Industries Dept. / Chief Minister's Self Employment Scheme (CMSES),"Collateral-free financial assistance to educated unemployed youth and first-generation entrepreneurs of Arunachal Pradesh to set up micro and small enterprises — key benefits: project loan of ₹50,000–₹20 lakh with 30–50% capital subsidy (higher subsidy for women, ST applicants, differently-abled, and applicants from remote frontier districts); bank loan component facilitated through Arunachal Pradesh Rural Bank and nationalised banks; free Entrepreneurship Development Programme (EDP) training through District Industries Centre (DIC) and APIIC (Arunachal Pradesh Industrial Infrastructure Corporation); priority sectors aligned with Arunachal's strengths: eco-tourism and homestay, bamboo & cane products, food processing (kiwi/orange/cardamom value addition, bamboo shoot processing), handloom textiles, fisheries and pisciculture, IT/digital services; special higher subsidy package for applicants from Category A districts (most remote districts); mandatory Permanent Resident Certificate (PRC) for eligibility",2000000,arunachalpradesh.gov.in/industries / District Industries Centre (DIC) (offline),District Industry Center (DIC),A — direct enterprise/finance,Yojana-Sahay-main/src/states/arunachal_pradesh.js
